t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,x,y,name
10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,900,550,I1
72.90089025,72.34165173,71.91341345,72.34165173,71.98653118,79.99078565,90.61906843,94.25908745,98.4502,113.0926628,108.9706965,114.3008922,107.431132,103.8026035,100.911725,101.6344446,96.61538424,90.48024762,91.29941177,91.29941177,90.48024762,80.06472264,73.47482565,72.13661314,800,550,I2
63.28590725,62.88878114,62.94688004,62.88878114,61.56098616,66.00257725,80.04277021,77.26171024,80.15669185,86.49995079,85.05445601,84.4104089,81.63198442,80.14463306,79.39493181,79.58235713,78.74981122,80.22817422,79.48655823,79.48655823,80.22817422,69.30927318,61.00633832,68.67884905,700,550,I3
55.94049792,54.89492219,55.27724589,54.89492219,52.9186776,56.87393146,76.85970642,72.50745288,75.08819577,76.08008537,75.44515262,69.12606956,67.85979782,67.23653373,67.35091978,67.32232327,69.95366626,77.14985667,75.98925573,75.98925573,77.14985667,65.4867226,55.28773266,67.57028467,600,550,I4
137.9072659,138.3550525,137.9906951,138.3550525,139.0837673,140.1319611,148.9961276,152.1385147,152.7669922,149.9968762,147.6151206,151.0904856,147.3786618,145.3579395,144.0748672,144.3956353,141.2459851,148.7866351,149.624605,149.624605,148.7866351,140.673515,137.5399683,142.6251742,500,550,I5
130.5618566,130.3611935,130.3210609,130.3611935,130.4414587,131.0033153,145.8130638,147.3842574,147.6984961,139.5770108,138.0058172,135.8061462,133.6064752,132.4498401,132.0308552,132.1356014,132.4498401,145.7083175,146.1273025,146.1273025,145.7083175,136.8509644,131.8213627,141.5166098,450,650,I6
125.4860209,123.8263462,123.948326,123.8263462,123.5823866,125.9274797,145.8130638,147.3842574,147.6984961,138.1709633,136.5997697,130.7303106,128.5306396,127.3740045,126.9550195,127.0597658,129.6837691,145.7083175,146.1273025,146.1273025,145.7083175,136.4052876,130.4153152,141.491626,400,550,I7
169.3635279,172.0808881,171.7165307,172.0808881,172.809603,169.8049866,161.8330638,163.4042574,163.7184961,166.3210987,165.7973675,172.40372,171.6704964,171.2515114,170.8325265,170.9372727,166.6319821,161.7283175,162.1473025,162.1473025,161.7283175,162.2006864,163.2834577,159.7835482,300,550,I8
164.2876922,165.5460408,165.3437958,165.5460408,165.9505309,164.729151,161.8330638,163.4042574,163.7184961,164.9150511,164.3913199,167.3278844,166.5946607,166.1756758,165.7566908,165.8614371,163.8659111,161.7283175,162.1473025,162.1473025,161.7283175,161.7550095,161.8774102,159.7585644,200,550,I9
159.2118566,159.0111935,158.9710609,159.0111935,159.0914587,159.6533153,161.8330638,163.4042574,163.7184961,163.5090036,162.9852724,162.2520487,161.5188251,161.0998401,160.6808552,160.7856014,161.0998401,161.7283175,162.1473025,162.1473025,161.7283175,161.3093326,160.4713627,159.7335806,200,650,I10
158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,200,750,I11
130,130,130,130,130,130,142.63,142.63,142.63,134.7180072,133.6705448,132.2040975,130.7376501,130,130,130,130,142.63,142.63,142.63,142.63,134.1916318,130,140.4330292,450,750,I12
129.4381434,129.6388065,129.6789391,129.6388065,129.5585413,128.9966847,139.4469362,137.8757426,137.5615039,129.8590036,129.3352724,128.6020487,127.8688251,127.5501599,127.9691448,127.8643986,127.5501599,139.5516825,139.1326975,139.1326975,139.5516825,131.5322992,128.1786373,139.3494486,550,750,I13
128.8762868,129.277613,129.3578782,129.277613,129.1170825,127.9933693,136.2638724,133.1214853,132.4930078,125,125,125,125,125.1003198,125.9382897,125.7287972,125.1003198,136.4733649,135.635395,135.635395,136.4733649,128.8729667,126.3572746,138.2658681,650,750,I14
128.3144302,128.9164194,129.0368173,128.9164194,128.6756238,126.990054,133.0808086,128.3672279,127.4245118,120.1409964,120.6647276,121.3979513,122.1311749,122.6504796,123.9074345,123.5931958,122.6504796,133.3950474,132.1380925,132.1380925,133.3950474,126.2136341,124.5359119,137.1822875,750,750,I15
